QuizID,Category,Subtopic,Title,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,"In the context of automation and AI, what does 'job displacement' refer to?",Workers moving to remote work environments,Reduction in the number of available human jobs due to machines,Increased job satisfaction,Temporary leave from workplace,Reduction in the number of available human jobs due to machines
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,What is a potential positive impact of automation within the healthcare industry?,Increased medical errors,Improved accuracy in diagnosis,Longer patient wait times,Decreased access to treatments,Improved accuracy in diagnosis
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,Which is NOT considered a risk associated with increased automation and AI?,Loss of privacy,Technological unemployment,Human creativity boost,Algorithmic bias,Human creativity boost
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,Which principle is fundamental to ensuring ethical automation in AI systems?,Transparency,Profit maximization,Monopoly creation,Data hoarding,Transparency
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,The concept of 'AI for good' in automation mainly focuses on:,Replacing all human labor,Maximizing company profits,Solving social or environmental issues,Increasing data collection,Solving social or environmental issues
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,What is one way to minimize the bias in AI-powered automated decision systems?,Regularly auditing algorithms,Using only a single dataset,Ignoring output errors,Limiting user access,Regularly auditing algorithms
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,Which future trend could result from widespread automation?,Universal basic income,Decreased internet usage,Less innovation,Reduced efficiency,Universal basic income
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,How can policymakers address ethical challenges posed by automation?,Implementing regulations and standards,Discouraging AI research entirely,Promoting unchecked data collection,Eliminating public discussions,Implementing regulations and standards
242976,"AI, Ethics & Future",Automation,Automation - Medium Level Challenge,Medium,900,Which aspect of automation is likely to challenge traditional privacy norms?,Automated data collection,Manual record keeping,Paper-based workflows,Physical security,Automated data collection
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,Which technology is expected to play a major role in the future of work?,Steam Engines,Artificial Intelligence,Typewriters,Telegrams,Artificial Intelligence
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,What does 'AI' stand for?,Automatic Information,Animal Intelligence,Artificial Intelligence,Advanced Input,Artificial Intelligence
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,Which job is most likely to be automated by AI?,Data entry clerk,Professional athlete,Artist,Psychologist,Data entry clerk
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,What is a key ethical concern with the use of AI in workplaces?,Increased vacation days,Job displacement,Bigger office buildings,More parties,Job displacement
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,Which field will require human judgement even when AI is used?,Legal advice,Simple calculations,Factory assembly,Vehicle maintenance,Legal advice
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,Why is transparency important in AI systems?,It makes systems faster,It helps users understand decisions,It lowers electricity bills,It increases screen size,It helps users understand decisions
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,Which of the following is NOT an ethical consideration for AI in the workplace?,Privacy,Bias,Dress code,Fairness,Dress code
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,"In the future of work, collaboration between humans and AI is known as what?",Human-AI partnership,Solo working,Vacation mode,Manual labor,Human-AI partnership
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,What must companies do when using AI with personal data?,Ignore rules,Protect privacy,Hire more staff,Switch off computers,Protect privacy
586203,"AI, Ethics & Future",Future of Work,Future of Work - Easy Level Challenge,Easy,600,Which is a positive effect of using AI at work?,Slower communication,Reduced productivity,Improved efficiency,Loss of information,Improved efficiency
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,Which ethical concept is most directly challenged by widespread use of AI-driven employee surveillance systems in the workplace?,Autonomy,Justice,Beneficence,Accountability,Autonomy
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,"In the context of AI hiring tools, what practice is essential to mitigate bias in algorithmic decision-making?",Limiting human involvement,Using transfer learning exclusively,Regular auditing and transparency,Maximizing training data size,Regular auditing and transparency
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,Which profession is LEAST likely to be automated by AI according to recent studies on the future of work?,Truck driving,Telemarketing,Elementary school teaching,Retail cashier,Elementary school teaching
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,What global policy initiative has been proposed to address economic disruption caused by AI-driven automation?,Universal Basic Income,Digital Payroll Tax,Mandatory Algorithm Licensing,Renewable Skills Certification,Universal Basic Income
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,Which term best describes the responsibility of organizations to ensure AI decisions align with moral and societal values?,Algorithmic fairness,Technological determinism,Ethical stewardship,Data sovereignty,Ethical stewardship
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,Which global standard is most frequently referenced for guiding ethical AI development in workplaces?,ISO 27001,OECD Principles on AI,GDPR,HIPAA,OECD Principles on AI
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,What is the primary ethical concern associated with AI-powered performance management systems?,Work-life balance disruption,Inaccurate automated feedback,Privacy infringement,Increased productivity pressure,Privacy infringement
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,Which philosophical approach focuses on maximizing the overall good in AI-driven workplace policy decisions?,Virtue ethics,Utilitarianism,Deontological ethics,Relativism,Utilitarianism
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,What is the term for unfair outcomes created when AI systems reinforce historical workplace prejudices?,Automation bias,Algorithmic bias,Invisible hand,Technological inertia,Algorithmic bias
334647,"AI, Ethics & Future",Future of Work,Future of Work - Hard Level Challenge,Hard,1200,How can organizations promote ethical AI adoption while enabling innovation in the future of work?,Ignoring regulatory frameworks,Implementing accountable governance models,Outsourcing AI development,Prioritizing profit over ethics,Implementing accountable governance models
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,Which ethical concern is most commonly associated with AI-powered recruitment tools in the workplace?,Data storage costs,Algorithmic bias,Employee turnover rates,Office space allocation,Algorithmic bias
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,What is meant by 'Explainable AI' in the context of workplace decision-making?,AI that makes decisions without human oversight,AI systems that provide transparent rationale for decisions,AI that requires advanced technical knowledge to operate,AI that is limited to simple tasks,AI systems that provide transparent rationale for decisions
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,Which principle is MOST important to ensure ethical use of employee data by AI systems?,Data minimization,Profit maximization,Centralized control,Unlimited data sharing,Data minimization
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,Which job function is LEAST likely to be automated by AI in the near future?,Routine data entry,Creative design,Payroll processing,Inventory tracking,Creative design
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,The concept of 'AI Augmentation' in the workplace refers to:,Replacing all employees with robots,Combining human skills with AI technologies to enhance productivity,Outsourcing work to remote locations,Reducing digital security measures,Combining human skills with AI technologies to enhance productivity
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,Which is a potential risk of increased AI adoption in professional settings?,Improvement in collaboration,Creation of new job roles,Job displacement for certain groups,Greater employee engagement,Job displacement for certain groups
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,"In terms of ethical AI, what does the term 'Fairness' primarily address?",Ensuring decisions are free from discrimination,Speed of automation,Profitability for businesses,Hardware compatibility,Ensuring decisions are free from discrimination
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,Which policy can organizations adopt to protect employee rights as AI becomes more prevalent?,Mandatory overtime for all staff,Transparent communication about AI use,Elimination of training programs,Restricted access to monitoring tools,Transparent communication about AI use
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,A major challenge in integrating AI ethics into business strategy is:,Lack of technical infrastructure,Difficulty in defining and monitoring ethical standards,Overabundance of skilled workers,Easy compliance with regulations,Difficulty in defining and monitoring ethical standards
120799,"AI, Ethics & Future",Future of Work,Future of Work - Medium Level Challenge,Medium,900,Which regulation focuses on the protection of personal data and affects how AI handles employee information?,General Data Protection Regulation (GDPR),Equal Pay Act,Minimum Wage Law,Occupational Safety and Health Act,General Data Protection Regulation (GDPR)
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,What is the primary goal of Artificial Intelligence in robotics?,To replace human workers,To assist and augment human capabilities,To entertain humans,To-destruct human-made objects,OptionB
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,Which of the following is an ethical concern in robotics?,Job creation,Increased productivity,Bias in decision-making algorithms,Improved efficiency,OptionC
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,What is the term for a robot that can learn from its environment and adapt to new situations?,Autonomous robot,Artificially intelligent robot,Machine learning robot,Humanoid robot,OptionC
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,Who is credited with coining the term 'Robotics'?,Isaac Asimov,Marvin Minsky,Joseph Engelberger,Alan Turing,OptionC
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,Which of the following is a potential future application of robotics?,Space exploration,Medical diagnosis,Environmental monitoring,All of the above,OptionD
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,What is the primary challenge in developing robots that can interact with humans?,Technical difficulties,Financial constraints,Understanding human behavior,Regulatory issues,OptionC
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,Which of the following is an example of a robot that uses Artificial Intelligence?,Industrial robot arm,Self-driving car,Drone,Roomba vacuum cleaner,OptionB
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,What is the term for the study of the ethical implications of robotics?,Robot ethics,Artificial intelligence ethics,Machine morality,Cybernetic morality,OptionA
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,Which of the following is a benefit of using robots in healthcare?,Reduced costs,Improved accuracy,Enhanced patient experience,All of the above,OptionD
146080,"AI, Ethics & Future",Robotics,Robotics - Easy Level Challenge,Easy,600,What is the term for the ability of a robot to understand and respond to human emotions?,Social intelligence,Emotional intelligence,Artificial empathy,Human-robot interaction,OptionB
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,Which term best describes AI-powered robots making autonomous decisions that may conflict with human ethical standards?,Robotic Singularity,Moral Agency,Socio-technical Dissonance,Algorithmic Bias,Socio-technical Dissonance
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,The EU's 'General Data Protection Regulation' (GDPR) impacts robotics mainly by addressing which concern?,Intellectual property of AI systems,Data privacy in autonomous decision-making,Liability for robotic actions,Energy efficiency standards,Data privacy in autonomous decision-making
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,Which philosophical approach emphasizes minimizing harm when programming robots for ethical decision-making?,Utilitarianism,Deontology,Virtue Ethics,Existentialism,Utilitarianism
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,What potential AI risk involves systems developing unintended strategies to achieve programmed objectives?,Goal Misalignment,Reinforcement Catastrophe,Overfitting,Feedback Loops,Goal Misalignment
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,"Which concept relates to ensuring robots act according to transparent, inspectable rules?",Ethical Alignment,Explainability,Reactive Planning,Autonomous Control,Explainability
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,What is the principal ethical issue with autonomous weapons?,Resource depletion,Attribution of responsibility,Data storage limitations,Sensor fusion errors,Attribution of responsibility
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,The 'robot rights' debate involves which central question?,Should robots replace human creativity?,Can robots possess legal personhood?,How fast should robots process data?,Are robots required to recharge autonomously?,Can robots possess legal personhood?
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,"Which AI principle, proposed by leading AI researchers, focuses on aligning AI goals with human values?",Human Compatibility Principle,Beneficial AI Principle,Machine Autonomy Principle,Value Alignment Principle,Value Alignment Principle
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,Which concept describes a robot learning behavior by observing humans?,Inverse Reinforcement Learning,Data Mining,Supervised Classification,Swarm Intelligence,Inverse Reinforcement Learning
166690,"AI, Ethics & Future",Robotics,Robotics - Hard Level Challenge,Hard,1200,What does the future concept of 'Technological Unemployment' refer to in robotics?,Robots malfunctioning due to outdated technology,Human workers displaced by automation,Loss of robot autonomy from software bugs,Robots refusing orders from humans,Human workers displaced by automation
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,Which ethical principle is especially crucial when developing AI-driven robotics for healthcare?,Autonomy,Justice,Non-maleficence,Beneficence,Non-maleficence
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,"What term is used for robots making decisions independently, without human intervention?",Autonomy,Efficiency,Transparency,Heuristics,Autonomy
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,Which of the following is a primary concern about the use of AI in surveillance robots?,Energy consumption,Job displacement,Privacy infringement,Physical dexterity,Privacy infringement
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,The concept of 'Robot Rights' is most closely related to which ethical topic?,Animal welfare,Digital personhood,Environmental sustainability,Economic inequality,Digital personhood
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,"In the context of AI ethics, what does 'algorithmic bias' in robotics mainly refer to?",Robots making errors in navigation,Robots consistently preferring certain outcomes,Robots using outdated code,Robots being unable to learn,Robots consistently preferring certain outcomes
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,Which regulation aims to ensure data protection and privacy for users interacting with AI and robotics within the EU?,COPPA,GDPR,HIPAA,FERPA,GDPR
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,A key argument against granting robots legal personhood is:,Robots cannot own property,Robots lack consciousness and moral agency,Robots are environmentally harmful,Robots require constant maintenance,Robots lack consciousness and moral agency
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,One feared impact of widespread AI robotics on the workforce is:,Increased workplace collaboration,Higher levels of creativity,Job automation and unemployment,Better health and safety standards,Job automation and unemployment
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,Which ethical challenge arises when using autonomous military robots?,Energy supply,Security encryption,Accountability for actions,Cost of production,Accountability for actions
727344,"AI, Ethics & Future",Robotics,Robotics - Medium Level Challenge,Medium,900,What is a future risk if AI-powered robots evolve beyond human control?,Increased demand for programmers,Undermining of human authority,Enhanced international cooperation,Cheaper consumer electronics,Undermining of human authority
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,What does 'AI' stand for?,Artificial Intelligence,Automated Information,Applied Innovation,Analog Input,Artificial Intelligence
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,Which of the following is a commonly discussed ethical concern related to AI?,Battery life,Bias in decision-making,Screen resolution,System updates,Bias in decision-making
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,Who is affected by AI's influence on job automation?,Only scientists,Everyone in society,Only politicians,Only artists,Everyone in society
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,Which is one way AI can help society positively?,Causing traffic jams,Improving medical diagnoses,Increasing unemployment,Spreading misinformation,Improving medical diagnoses
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,What is one risk of using AI in facial recognition technology?,Faster charging,Privacy invasion,Better camera quality,Longer battery life,Privacy invasion
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,Which group should be considered when making ethical decisions about AI,Only programmers,All stakeholders,Only government officials,Only teenagers,All stakeholders
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,What is a 'future concern' related to AI?,Language barriers,Human job displacement,Water pollution,None of the above,Human job displacement
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,Why is transparency important in AI systems?,It makes computers faster,It helps users trust decisions,It protects passwords,It is required for WiFi,It helps users trust decisions
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,Which concept helps ensure AI acts responsibly?,Accountability,Animation,Acceleration,Amplification,Accountability
905665,"AI, Ethics & Future",Tech & Society,Tech & Society - Easy Level Challenge,Easy,600,AI can sometimes unintentionally reinforce negative stereotypes through what?,Unbiased data,Machine bias,Random selection,Open forums,Machine bias
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,Which philosopher's 'Chinese Room' thought experiment challenges the idea that AI can truly understand language?,John Searle,Noam Chomsky,Alan Turing,Ray Kurzweil,John Searle
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,Which legal principle in EU law seeks to protect individuals from automated decisions without human oversight?,The Digital Services Act,Right to Explanation,GDPR Article 22,Eprivacy Directive,GDPR Article 22
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,What is the concept called where AI systems inadvertently reinforce pre-existing societal biases present in training data?,Algorithmic Transparency,Bias Amplification,Gradient Descent,Overfitting,Bias Amplification
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,The 'control problem' in AI refers to which ethical issue?,Controlling financial incentives in AI research,Ensuring AI systems operate under human values,Preventing system crashes,Reducing energy consumption,Ensuring AI systems operate under human values
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,Which term describes the phenomenon where an AI system learns features that do not align with the intended task due to misleading feedback?,Adversarial Examples,Reward Hacking,Data Poisoning,Gradient Vanishing,Reward Hacking
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,Who coined the term 'Superintelligence' to refer to AI smarter than the best human brains in practically every field?,Nick Bostrom,Elon Musk,Geoffrey Hinton,Stuart Russell,Nick Bostrom
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,Which type of AI ethical framework prioritizes the greatest good for the greatest number?,Deontological Ethics,Virtue Ethics,Utilitarianism,Principlism,Utilitarianism
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,The concept of 'value alignment problem' in AI refers to:,Ensuring AI systems share and uphold human values,Matching neural networks to data distributions,Aligning company profits with social objectives,Synchronizing AI processing speeds,Ensuring AI systems share and uphold human values
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,"Which organization published the widely cited 'AI Ethics Principles' including transparency, justice, and non-maleficence?",OpenAI,Alan Turing Institute,EU High-Level Expert Group on AI,Google AI Ethics Board,EU High-Level Expert Group on AI
712854,"AI, Ethics & Future",Tech & Society,Tech & Society - Hard Level Challenge,Hard,1200,Which term is used to describe the hypothetical scenario where AI systems run out of meaningful human tasks to automate?,Technological Singularity,Automation Plateau,Anthropomorphic Bias,Universal Basic Automation,Automation Plateau
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,Which of the following is a potential ethical concern associated with facial recognition technology powered by AI?,Improved photo quality,Surveillance and privacy invasion,Faster internet speeds,Online shopping recommendations,Surveillance and privacy invasion
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,What is 'algorithmic bias' in the context of artificial intelligence?,A preference for faster algorithms,Using outdated technology,Systematic errors favoring certain outcomes or groups,None of the above,Systematic errors favoring certain outcomes or groups
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,Which concept means an AI system should clearly disclose how it reaches decisions?,Transparency,Encryption,Efficiency,Performance,Transparency
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,Deepfake technology raises ethical questions primarily because it can:,Create realistic fake videos for malicious purposes,Increase internet bandwidth usage,Improve video editing efficiency,Enhance special effects in movies,Create realistic fake videos for malicious purposes
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,Which of these is a commonly suggested way to mitigate bias in AI systems?,Limiting data sources,Increasing dataset diversity,Reducing model complexity,Speeding up algorithm processing,Increasing dataset diversity
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,A 'black box' AI model is criticized because it:,Uses too much electricity,Is expensive to build,Lacks interpretability or transparency,Is slow at processing data,Lacks interpretability or transparency
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,What is the main concern about ‘autonomous AI weapons’?,They will improve national defense,Their actions may be hard to control and ethically questionable,They cannot be programmed,They are always 100% accurate,Their actions may be hard to control and ethically questionable
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,Who is typically responsible for the ethical use of AI within an organization?,Only the customers,Engineers and developers only,Governments only,"Everyone involved, including leadership, developers, and users","Everyone involved, including leadership, developers, and users"
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,What is one risk associated with deploying AI in criminal justice systems?,Fairer trial outcomes,Potential reinforcement of existing biases,Faster internet speeds,Reduced paperwork,Potential reinforcement of existing biases
347698,"AI, Ethics & Future",Tech & Society,Tech & Society - Medium Level Challenge,Medium,900,What does 'AI alignment' refer to?,Developing AI that matches human values and intentions,Improving computer screen resolution,Increasing battery life,Speeding up software updates,Developing AI that matches human values and intentions
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Which artist painted the famous painting 'The Starry Night'?,Leonardo da Vinci,Vincent van Gogh,Claude Monet,Pablo Picasso,Vincent van Gogh
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Which style of music originated in the southern United States?,Jazz,Classical,Blues,Rock,Blues
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Who wrote the famous novel 'To Kill a Mockingbird'?,F. Scott Fitzgerald,Harper Lee,Jane Austen,J.K. Rowling,Harper Lee
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,What is the name of the famous ballet composed by Tchaikovsky?,Swan Lake,The Nutcracker,Romeo and Juliet,The Sleeping Beauty,Swan Lake
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Who was the famous Greek philosopher that taught Alexander the Great?,Socrates,Plato,Aristotle,Epicurus,Aristotle
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Which museum is home to the Mona Lisa?,The Louvre,The Metropolitan Museum of Art,The National Gallery,The Museum of Modern Art,The Louvre
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Who was the Roman god of war?,Jupiter,Mars,Neptune,Apollo,Mars
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,What is the name of the famous play by Shakespeare that features the characters Romeo and Juliet?,Hamlet,Macbeth,A Midsummer Night's Dream,Romeo and Juliet,Romeo and Juliet
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Who was the famous American poet that wrote 'The Road Not Taken'?,Robert Frost,Edgar Allan Poe,Walt Whitman,Emily Dickinson,Robert Frost
876453,Arts & Humanities,Cultural Studies,Cultural Studies - Easy Level Challenge,Easy,600,Which style of art is characterized by small dots of color that are blended together to form an image?,Impressionism,Expressionism,Pointillism,Cubism,Pointillism
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,Which of the following philosophers is known for his concept of the 'rhizome' in cultural theory?,Jean Baudrillard,Gilles Deleuze,Michel Foucault,Pierre Bourdieu,OptionB
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,The term 'cultural capitalism' refers to the:,Commodification of cultural artifacts,Influence of capitalism on cultural production,Use of cultural symbols in advertising,Dominance of cultural industries in the global economy,OptionB
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,Who is the author of the influential book 'The Raw and the Cooked'?,Clifford Geertz,Roland Barthes,Claude Lévi-Strauss,Pierre Bourdieu,OptionC
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,The concept of 'habitus' in sociology refers to:,The GOODMAN,The social environment in which individuals develop their cultural preferences,The cultural practices and preferences of a particular social class,The process of cultural reproduction,OptionC
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,Which of the following art movements is characterized by its use of 'found objects'?,Surrealism,Cubism,Dadaism,Abstract Expressionism,OptionC
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,The term '-postcolonial' refers to the:,Period after a country has gained independence from colonial rule,Study of the cultural and social impacts of colonialism,Process of cultural exchange between colonial powers and colonized countries,History of colonialism and its effects on indigenous cultures,OptionB
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,The concept of 'hyperreality' was introduced by which philosopher?,Jean-François Lyotard,Fredric Jameson,Jean Baudrillard,Slavoj Žižek,OptionC
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,Who is the author of the influential book 'The Interpretation of Cultures'?,Clifford Geertz,Sherry Ortner,James Clifford,Renato Rosaldo,OptionA
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,The term 'cultural hybridity' refers to the:,Mixing of different cultural practices and forms,Clash of different cultural values and beliefs,Dominance of one culture over another,Loss of cultural identity due to globalization,OptionA
198056,Arts & Humanities,Cultural Studies,Cultural Studies - Hard Level Challenge,Hard,1200,Which of the following thinkers is known for his theory of 'panopticism'?,Michel Foucault,Jean Baudrillard,Gilles Deleuze,Pierre Bourdieu,OptionA
355016,Arts & Humanities,Cultural Studies,Cultural Studies - Medium Level Challenge,Medium,900,Which artist is famous for painting the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Caravaggio,Michelangelo
355016,Arts & Humanities,Cultural Studies,Cultural Studies - Medium Level Challenge,Medium,900,What is the name of the famous opera by Giuseppe Verdi that tells the story of a courtesan?,La Bohème,Madama Butterfly,Turandot,La Traviata,La Traviata
355016,Arts & Humanities,Cultural Studies,Cultural Studies - Medium Level Challenge,Medium,900,Who wrote the influential novel 'To Kill a Mockingbird'?,F. Scott Fitzgerald,Harper Lee,Jane Austen,J.K. Rowling,Harper Lee
355016,Arts & Humanities,Cultural Studies,Cultural Studies - Medium Level Challenge,Medium,900,What style of art is characterized by its use of small dots of color?,Impressionism,Pointillism,Cubism,Surrealism,Pointillism
